Data File Name,2100 expert_High Sensitivity DNA Assay_DE54700632_2020-03-13_17-24-22_exports.xad
Data File Path,E:\201905_exports
Date Created,"Saturday, March 14, 2020 12:24:22 AM"
Date Last Modified,"Tuesday, November 03, 2020 12:48:31 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
77.75,190.5485
77.8,178.108
77.85,157.6431
77.9,131.6562
77.95,103.5144
78,75.85805
78.05,53.42207
78.1,35.83244
78.15,23.40642
78.2,14.99087
78.25,9.39129
78.3,5.704832
78.35,3.610365
78.4,2.149038
78.45,1.251849
78.5,0.8134704
78.55,0.4287908
78.6,0.1187435
78.65,-0.4281504
78.7,-1.043198
78.75,-1.31168
78.8,-1.189494
78.85,-1.072812
78.9,-0.986356
78.95,-1.036584
79,-1.304814
79.05,-1.746809
79.1,-1.860904
79.15,-1.960395
79.2,-1.991626
79.25,-1.879064
79.3,-1.787248
79.35,-1.879104
79.4,-1.997074
79.45,-1.959044
79.5,-1.948563
79.55,-2.069763
79.6,-2.012264
79.65,-1.974336
79.7,-2.097505
79.75,-2.088543
79.8,-2.05293
79.85,-2.053932
79.9,-2.080427
79.95,-1.99531
80,-2.078744
80.05,-2.326882
80.1,-2.378065
80.15,-2.38704
80.2,-2.330917
80.25,-2.235751
80.3,-2.179174
80.35,-2.249404
80.4,-2.235813
80.45,-2.123091
80.5,-2.176821
80.55,-2.37792
80.6,-2.460191
80.65,-2.559294
80.7,-2.463963
80.75,-2.407127
80.8,-2.271219
80.85,-2.326124
80.9,-2.581456
80.95,-2.420435
81,-2.45951
81.05,-2.529664
81.1,-2.446817
81.15,-2.504683
81.2,-2.581158
81.25,-2.515242
81.3,-2.381575
81.35,-2.31712
81.4,-2.261934
81.45,-2.214145
81.5,-2.399298
81.55,-2.409357
81.6,-2.345315
81.65,-2.280888
81.7,-2.230193
81.75,-2.391457
81.8,-2.366687
81.85,-2.435874
81.9,-2.56741
81.95,-2.518162
82,-2.528765
82.05,-2.55387
82.1,-2.468134
82.15,-2.431575
82.2,-2.585581
82.25,-2.675254
82.3,-2.637276
82.35,-2.713979
82.4,-2.598712
82.45,-2.318743
82.5,-2.242364
82.55,-1.862852
82.6,-1.270405
82.65,-0.1235838
82.7,1.954063
82.75,5.949861
82.8,12.81906
82.85,23.0266
82.9,36.63958
82.95,54.79997
83,76.32351
83.05,100.8206
83.1,126.2531
83.15,149.8179
83.2,169.0276
83.25,182.6212
83.3,188.2228
83.35,183.5687
83.4,171.1084
83.45,152.3339
83.5,130.2359
83.55,106.4065
83.6,83.76328
83.65,62.76566
83.7,45.81974
83.75,32.63237
83.8,22.93651
83.85,16.06241
83.9,10.84351
83.95,7.419568
84,5.367986
84.05,4.236563
84.1,3.122934
84.15,2.250828
84.2,1.478983
84.25,0.9363736
84.3,0.6150423
84.35,0.2502797
84.4,-0.0371738
84.45,-0.4188305
84.5,-0.6149598
84.55,-0.9517571
84.6,-1.459055
84.65,-1.479594
84.7,-1.438238
84.75,-1.405775
84.8,-1.356929
84.85,-1.520915
84.9,-1.703376
84.95,-1.836771
85,-1.772354
85.05,-1.809287
85.1,-1.851369
85.15,-1.77858
85.2,-1.911161
85.25,-1.968518
85.3,-2.115852
85.35,-2.147615
85.4,-2.170336
85.45,-2.231957
85.5,-2.255486
85.55,-2.330981
85.6,-2.434274
85.65,-2.419639
85.7,-2.606252
85.75,-2.603812
85.8,-2.589577
85.85,-2.45667
85.9,-2.428059
85.95,-2.611097
86,-2.525419
86.05,-2.586641
86.1,-2.642151
86.15,-2.572848
86.2,-2.585212
86.25,-2.710925
86.3,-2.733926
86.35,-2.701037
86.4,-2.770015
